cohort	gene	alias	n	rho	rho_lo	rho_hi	p	rho_purity_adj	p_purity_adj	rho_prolif_adj	p_prolif_adj	q	q_purity_adj	q_prolif_adj
READ	CD274	PD-L1	92	0.3058688441784833	0.09546872342815306	0.49010808965303226	0.003025968627313626	0.16201783325785152	0.12494538883427983	0.2176833432949039	0.038192094404584646	0.009729525674444425	0.23474129275358854	0.0926719937758304
READ	PDCD1LG2	PD-L2	92	0.2831258921198507	0.07073766533046309	0.4709561015604637	0.0062434711924961375	0.016180453717425675	0.8790071907259704	0.2975128299354139	0.004183102886745914	0.018395941906461835	0.9277368004463867	0.01468536119815055
READ	PDCD1	PD-1	92	0.32605261206730785	0.11763660307229813	0.5069572790551036	0.001515080532692185	0.15925892201186714	0.13158695976049464	0.34007650819532975	0.0009732033563241276	0.005434527997700229	0.24213957279347526	0.004460515383152251
READ	CTLA4	CTLA-4	92	0.3232712450670157	0.11456943171600213	0.5046436079444109	0.0016713217755408808	0.17417100836367844	0.09870513126358622	0.29559451623577065	0.004445714709831507	0.005859966035032896	0.19701225796562574	0.01517675021632135
READ	HAVCR2	TIM-3	92	0.2285390612069361	0.012425721074416553	0.42425413000630574	0.028438423065125455	-0.05262101187690242	0.6203342482214438	0.2762430443891509	0.008036079865242613	0.06608929303867184	0.7529243675300874	0.02470720207015586
READ	LAG3	LAG-3	92	0.20069049500140898	-0.016767617885784788	0.40002024880750986	0.055085558071591864	-0.0023554868036264882	0.9823208695877661	0.13971629334243454	0.18654373562156237	0.11342327818063398	0.9903234835966278	0.3173166636861628
READ	TIGIT	TIGIT	92	0.22973863407414843	0.013691551331937425	0.4252917407864884	0.027594537954092273	0.02250639836085607	0.8322972304602151	0.258253896162214	0.013450594692179369	0.0644306428645079	0.9009855375176031	0.037616069901857556
READ	IDO1	IDO1	92	0.211859900595818	-0.005103217958174832	0.4097734818145277	0.04262351160729386	0.05258224344837042	0.6205922059641933	0.1376334149521487	0.19326176613701815	0.09133609630134398	0.7529243675300874	0.32428669233160673
READ	BTLA	BTLA	92	0.0967659944505959	-0.1225325540161375	0.30705523733245293	0.3588218430554791	-0.03897426184496247	0.7137752295549221	0.15003417671890495	0.15575378421369482	0.4773136185162119	0.8235868033326024	0.2733975999495707
READ	SIGLEC15	Siglec-15	92	0.13064439907210598	-0.08859285320820164	0.33780835541943	0.21449797193997414	0.014697951019778763	0.890020136622038	0.31230162986895116	0.002580437431366603	0.3307679006551003	0.9316238872909708	0.009825511757895911
READ	CD276	B7-H3	92	0.47602203985538605	0.28912120690780135	0.6279651297892064	1.6195251887904158e-06	0.37026490070971674	0.0003031854687356738	0.3745954236336555	0.0002540363118237338	1.2548104134800176e-05	0.001500768070241585	0.00146218574828777
READ	IL10	IL-10	92	0.13603355901330022	-0.08314659993128255	0.34265992403995377	0.19602221666301609	-0.13536780910392904	0.200765611444681	0.14722768941091058	0.16372581938643352	0.31199677571766227	0.3391773981744611	0.2842664443387294
