cohort	measure	n	rho	rho_lo	rho_hi	p	q
STAD	Immune score	413	-0.19150222106538167	-0.28810599150568533	-0.09103987037838983	8.992044250502989e-05	0.0004308687870032682
STAD	Stromal score	413	-0.29288563835807774	-0.38364199174788755	-0.19652589326110914	1.2978342212962818e-09	2.7426017792954316e-08
STAD	Microenvironment score	413	-0.2928069745387949	-0.3835686104434436	-0.19644317228599756	1.3116791118369456e-09	2.7426017792954316e-08
TGCT	TMB	147	0.0635427497104561	-0.10906609751221248	0.23243181335976526	0.4445031494967967	0.5875616343923175
TGCT	MSI (MANTIS)	147	0.03223189282900025	-0.13996226837290363	0.20253368916172668	0.6983449794194282	0.804154118216413
TGCT	Aneuploidy	147	0.12889973886324782	-0.04348188031444055	0.29382812202565334	0.11971209804258993	0.2151076761702788
TGCT	FGA	147	0.10602321335759855	-0.0666082024336761	0.2724916293468269	0.20121595155091976	0.3085311257114103
TGCT	Immune score	148	-0.17930161362567884	-0.3397351837442055	-0.008728670199005875	0.0292199956037755	0.069677461199779
TGCT	Stromal score	148	-0.29194445781214723	-0.4407995118563116	-0.12746138768690443	0.00031784748977586576	0.0013054450472937344
TGCT	Microenvironment score	148	-0.36692493068332	-0.5060436164877844	-0.20919832805415453	4.496351178248127e-06	3.566071624127825e-05
THCA	TMB	486	-0.12162241594975381	-0.21342761586580536	-0.027688060248103698	0.0072685592919181094	0.0201417908089297
THCA	MSI (MANTIS)	485	-0.2599221770908956	-0.345791102155713	-0.16973578258783492	6.263406613186197e-09	9.603890140218836e-08
THCA	Aneuploidy	460	-0.13592612731454892	-0.22977971879513487	-0.03956773962137167	0.0034899233708792776	0.010290799683361973
THCA	FGA	494	-0.1353037251269211	-0.22593121974443708	-0.04235418176033009	0.0025823077850724717	0.008026091764414439
THCA	Immune score	500	-0.10862881815782356	-0.19953721665055382	-0.01586643471958307	0.01509341904690907	0.039005464952686364
THCA	Stromal score	500	-0.05954013302394345	-0.15162379638679804	0.033568126953526775	0.18378032844937614	0.28951695577641445
THCA	Microenvironment score	500	-0.22637196208541321	-0.3127164928675152	-0.13631685472551516	3.125495730004958e-07	3.783494831058633e-06
THYM	TMB	118	0.17813595086038866	-0.013675898937429756	0.3573027887599895	0.05361699004103211	0.11525147391997557
THYM	MSI (MANTIS)	118	-0.014711253327360186	-0.2054785438581134	0.17713306403100926	0.8743681475217167	0.9224985042660313
THYM	Aneuploidy	102	-0.1257327037012641	-0.32318941384593425	0.08221520707567775	0.20796114429917362	0.3146780472948022
THYM	FGA	118	-0.10103636927116932	-0.28683669074749263	0.0920896884262215	0.2763122553884611	0.3947317934120873
THYM	Immune score	119	-0.2370317618572853	-0.40909479926593506	-0.048691515026604335	0.009444866368053778	0.025259526333167078
THYM	Stromal score	119	-0.18721422254512635	-0.36474258781362645	0.0034481221506444874	0.04147274219344749	0.09351696769110708
THYM	Microenvironment score	119	-0.30842472582253244	-0.47126898457494576	-0.1252457011848188	0.0006434802418537114	0.002426236977481207
UCEC	TMB	173	-0.036433805439437174	-0.19332758384475832	0.12227684017121615	0.6341485665045777	0.7479701040823225
UCEC	MSI (MANTIS)	177	0.10677287344836234	-0.050275706769456655	0.25866857386959236	0.15721429853123786	0.2639364135925891
UCEC	Aneuploidy	175	0.1282642602412799	-0.029429428011844866	0.2797282961743733	0.0907201071383909	0.17102971017893367
UCEC	FGA	173	0.22275215744863996	0.06710736708735102	0.3678132033600739	0.0032221552757399348	0.009751259387107697
UCEC	Immune score	180	-0.2240656728426446	-0.36625561215546065	-0.0716505132548327	0.0024965872056817214	0.007865959689134191
UCEC	Stromal score	180	-0.29249627944543954	-0.42800608794641465	-0.1441242786882914	6.765047759876234e-05	0.0003382523879938117
UCEC	Microenvironment score	180	-0.35761410208864164	-0.48561538786011416	-0.21459987185235338	8.289021055014247e-07	8.289021055014247e-06
UCS	TMB	57	-0.035532941752726754	-0.30794023598376186	0.24225888542647428	0.793007443004137	0.8840885787187553
UCS	MSI (MANTIS)	57	0.1789985416593953	-0.10142254102298127	0.433069208070925	0.18277536850016277	0.28951695577641445
UCS	Aneuploidy	56	0.027223152585668254	-0.2525598430590952	0.30280505425419674	0.8421364091953641	0.912118524738399
UCS	FGA	56	0.15837320574162678	-0.1250002396844483	0.4178568373697617	0.24369480545903774	0.3570051290164247
UCS	Immune score	57	-0.10973554576095412	-0.3738572396031225	0.1708490620928312	0.41645392628012595	0.5568860642117963
UCS	Stromal score	57	-0.23133264194970185	-0.47640029777947535	0.047088504865860144	0.08338030903706939	0.15849149651674346
UCS	Microenvironment score	57	-0.27670469276639875	-0.513027671347666	-0.0013896411712252935	0.03719051720476263	0.08640221168783238
